SUCURSAL,STATUS_SOLICITUD,PRODUCTO,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,MESES_VENCIDOS,SALDO_CUENTA,CAPACIDAD_TC,INGRESO_INFERIDO,COMPROBANTE_INGRESOS,SEGMENTO_CLIENTE,CLIENTE_CDE,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SOLICITUDES_RECHAZADAS,SCORE_CLIENTE,SCORE_COMPORTAMIENTO,SUMA_SALDOS_TARJETAS,SUMA_PAGO_MIN_TARJETAS,NUM_CREDITOS,EDAD,TIPO_VIVIENDA,ESCOLARIDAD,TIENE_CUENTA,TARGET_APROBADO,TARGET_PRODUCTO,FLAG_INGRESO_CERO,FLAG_SIN_SCORE_COMP,TIENE_TARJETAS,TIENE_LINEAS_REV,RATIO_SALDO_LINEA,RATIO_DEUDA_INGRESO,RATIO_PAGO_INGRESO,RATIO_REVOLVENTE_INGRESO,SCORE_COMBINADO,EDAD_GRUPO_ORD,SEGMENTO_ORD,ESCOLARIDAD_ORD,NIVEL_RIESGO_ORD,MESES_VENCIDOS_ORD,VIVIENDA_ORD,CLIENTE_BANCO_BIN,COMPROBANTE_INGRESOS_DECLARACION ANUAL,COMPROBANTE_INGRESOS_INVERSIONES,COMPROBANTE_INGRESOS_RECIBO DE NOMINA,COMPROBANTE_INGRESOS_SIN COMPROBANTE,TIPO_CTE_BUENO,TIPO_CTE_MALO,TIPO_CTE_REGULAR,SCORE_CLIENTE_STD,SCORE_COMPORTAMIENTO_STD,SUMA_LINEAS_REVOLVENTES_STD,SUMA_SALDOS_TARJETAS_STD,SUMA_PAGO_MIN_TARJETAS_STD,SOLICITUDES_RECHAZADAS_STD,INGRESO_INFERIDO_STD,RATIO_DEUDA_INGRESO_STD,RATIO_PAGO_INGRESO_STD,RATIO_REVOLVENTE_INGRESO_STD,EDAD_MM,CAPACIDAD_PAGO_TOTAL_MM,CAPACIDAD_TC_MM
146,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,2,247500.0,10.0,16333.0,INVERSIONES,ALTO_A,CLIENTE_BANCO,293000,BAJO,0.9,0,270,710,0,0,0,25,PROPIA,POSGRADO,1,1,2.0,0,0,0,1,1.6386387711864507,0.0,0.0,17.939141615135004,0.8760899426660296,0,4,4,0,3,3,1,0,1,0,0,1,0,0,2.13014843411165,1.354523074516148,8.290654657366673,-0.28213814423926503,-0.12090730730064678,-1.0863226406669884,0.5754691246506121,-0.22151694892031418,-0.11464859499955123,14.360904164701482,0.0,0.75,0.28571428571428575
180,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,2,181500.0,34.0,56603.0,RECIBO DE NOMINA,ALTO_B,CLIENTE_BANCO,200000,BAJO,0.66,0,226,762,1240,0,0,36,PROPIA,LICENCIATURA,1,1,2.0,0,0,1,1,1.2016684322033973,0.021906966061869513,0.0,3.5333816228821795,0.8026188485427617,1,3,3,0,3,3,1,0,0,1,0,1,0,0,1.413770871913837,1.5048905144267286,5.56411428310007,-0.18985110416071058,-0.12090730730064678,-1.0863226406669884,3.211655935326979,-0.15102527454931547,-0.11464859499955123,2.6309498852065585,0.31428571428571417,0.55,0.5142857142857143
171,APROBADA,CREDITO_AUTO,APROBADO,REGULAR,151039.99999999907,0,101380.0,63.0,79823.9599999994,INVERSIONES,ALTO_A,CLIENTE_BANCO,40000,BAJO,0.37,0,190,773,0,0,0,44,PROPIA,PREPARATORIA,1,1,2.0,0,0,0,1,0.6712129237288177,0.0,0.0,0.5011026764395089,0.722912685140946,1,4,2,0,1,3,1,0,1,0,0,0,0,1,0.827643775570172,1.5366990113308898,0.8732921338241911,-0.28213814423926503,-0.12090730730064678,-1.0863226406669884,4.731764911816721,-0.22151694892031418,-0.11464859499955123,0.16190323833921516,0.5428571428571428,0.30833333333333335,0.7904761904761906
202,APROBADA,TARJETA_ORO,APROBADO,BUENO,151039.99999999907,1,45633.0,56.0,79823.9599999994,INVERSIONES,MEDIO_A,CLIENTE_BANCO,0,BAJO,0.44,0,234,766,0,0,0,26,PROPIA,LICENCIATURA,1,1,1.0,0,0,0,0,0.30212526483051033,0.0,0.0,0.0,0.8243340898232203,0,2,3,0,2,3,1,0,1,0,0,1,0,0,1.5440213377679848,1.5164572405736962,-0.29941340349477835,-0.28213814423926503,-0.12090730730064678,-1.0863226406669884,4.731764911816721,-0.22151694892031418,-0.11464859499955123,-0.24612184934300496,0.02857142857142858,0.3666666666666667,0.7238095238095239
192,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,1,38857.0,56.0,79823.9599999994,INVERSIONES,MEDIO_A,CLIENTE_BANCO,0,BAJO,0.44,0,234,766,0,0,0,26,PROPIA,LICENCIATURA,1,1,2.0,0,0,0,0,0.2572629766949168,0.0,0.0,0.0,0.8243340898232203,0,2,3,0,2,3,1,0,1,0,0,1,0,0,1.5440213377679848,1.5164572405736962,-0.29941340349477835,-0.28213814423926503,-0.12090730730064678,-1.0863226406669884,4.731764911816721,-0.22151694892031418,-0.11464859499955123,-0.24612184934300496,0.02857142857142858,0.3666666666666667,0.7238095238095239
138,APROBADA,CREDITO_AUTO,APROBADO,REGULAR,151039.99999999907,2,146340.0,46.0,52930.0,INVERSIONES,ALTO_A,CLIENTE_BANCO,40000,MEDIO,0.54,0,200,687,8176,0,0,56,HIPOTECA,PREPARATORIA,1,1,2.0,0,0,1,1,0.9688824152542432,0.1544681655016059,0.0,0.7557150954090308,0.6935349976110845,3,4,2,1,3,2,1,0,1,0,0,0,0,1,0.9904568578878568,1.2880143991710837,0.8732921338241911,0.326360920020623,-0.12090730730064678,-1.0863226406669884,2.971211084181851,0.27552675820338735,-0.11464859499955123,0.3692225352808716,0.8857142857142856,0.45000000000000007,0.6285714285714287
189,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,0,128160.0,52.0,56134.0,RECIBO DE NOMINA,ALTO_A,CLIENTE_BANCO,300000,BAJO,0.48,0,279,740,13806,3760,0,27,FAMILIARES,PREPARATORIA,1,1,2.0,0,0,1,1,0.8485169491525476,0.2459471977767485,0.06698257740406884,5.344354580111875,0.9163580984233157,0,4,2,0,1,0,1,0,0,1,0,1,0,0,2.276680208197566,1.441273520618406,8.495878126397493,0.7453738519901887,1.169785580122543,-1.0863226406669884,3.180953883819474,0.5698856455409398,1.9490345071996975,4.105542687053179,0.05714285714285705,0.4,0.6857142857142857
108,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,2,297920.0,-12.0,38485.0,INVERSIONES,ALTO_A,CLIENTE_BANCO,75000,BAJO,1.12,0,245,740,36338,0,0,50,HIPOTECA,LICENCIATURA,1,1,2.0,0,0,1,1,1.9724576271186562,0.9442120306612967,0.0,1.9488112251526568,0.8346273291925466,2,4,3,0,3,2,1,0,1,0,0,1,0,0,1.723115728317438,1.441273520618406,1.8994094789782896,2.422318680256309,-0.12090730730064678,-1.0863226406669884,2.025600990309983,2.816744342697148,-0.11464859499955123,1.3407063764986438,0.7142857142857143,0.9333333333333335,0.0761904761904762
137,APROBADA,TARJETA_ORO,APROBADO,REGULAR,151039.99999999907,1,52200.0,80.0,42652.0,INVERSIONES,MEDIO_A,CLIENTE_BANCO,182000,BAJO,0.2,0,214,744,12195,0,0,38,PROPIA,LICENCIATURA,1,1,1.0,0,0,1,1,0.3456038135593242,0.2859185970177248,0.0,4.267091812810654,0.7625925704730052,1,2,3,0,2,3,1,0,1,0,0,0,0,1,1.2183951731326155,1.4528402467653738,5.036396791306533,0.6254751249203894,-0.12090730730064678,-1.0863226406669884,2.2983844628723973,0.6985045903775045,-0.11464859499955123,3.2283766774680505,0.37142857142857133,0.16666666666666669,0.9523809523809524
161,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,1,137800.0,47.0,54683.0,INVERSIONES,ALTO_A,CLIENTE_BANCO,45000,BAJO,0.53,0,203,705,41180,2560,0,58,RENTA,PREPARATORIA,1,1,2.0,0,0,1,1,0.9123411016949209,0.7530676809977507,0.04681528080024871,0.8229248578168717,0.7119266602962255,3,4,2,0,2,1,1,0,1,0,0,1,0,0,1.0393007825831622,1.3400646668324385,1.0198803259890623,2.7826846867565993,0.7578623181789717,-1.0863226406669884,3.085967366255744,2.20168494942993,1.3276951853745602,0.4239483838722449,0.9428571428571427,0.4416666666666667,0.6380952380952382
129,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,1,204800.0,20.0,37052.0,INVERSIONES,ALTO_A,CLIENTE_BANCO,50000,BAJO,0.8,0,254,724,1869,0,0,37,HIPOTECA,LICENCIATURA,1,1,2.0,0,0,1,1,1.3559322033898389,0.05044262118104286,0.0,1.349454820252618,0.8463240563784042,1,4,3,0,2,2,1,0,1,0,0,1,0,0,1.8696475024033543,1.3950066160305352,1.1664685181539336,-0.14303775883054062,-0.12090730730064678,-1.0863226406669884,1.931792803081296,-0.05920397428605898,-0.11464859499955123,0.8526777525051337,0.34285714285714286,0.6666666666666667,0.380952380952381
151,APROBADA,TARJETA_ORO,APROBADO,BUENO,151039.99999999907,1,213350.0,15.0,52430.0,INVERSIONES,MEDIO_A,CLIENTE_BANCO,169500,BAJO,0.85,0,238,766,0,0,0,36,PROPIA,LICENCIATURA,1,1,1.0,0,0,0,1,1.4125397245762799,0.0,0.0,3.232881937821858,0.8339494744386049,1,2,3,0,2,3,1,0,1,0,0,1,0,0,1.6091465706950587,1.5164572405736962,4.669926310894355,-0.28213814423926503,-0.12090730730064678,-1.0863226406669884,2.938479685986217,-0.22151694892031418,-0.11464859499955123,2.386266677333055,0.31428571428571417,0.7083333333333334,0.33333333333333337
123,APROBADA,TARJETA_ORO,APROBADO,REGULAR,151039.99999999907,0,91650.0,61.0,4961.0,INVERSIONES,ALTO_A,CLIENTE_BANCO,102000,BAJO,0.39,0,292,757,14565,0,0,60,FAMILIARES,PREPARATORIA,1,1,1.0,0,0,1,1,0.6067929025423766,2.9359000201572263,0.0,20.56037089296513,0.958167104634496,3,4,2,0,1,0,1,0,1,0,0,0,0,1,2.4883372152105565,1.4904321067430188,2.690985716668594,0.8018624515221426,-0.12090730730064678,-1.0863226406669884,-0.16897379591088893,9.225546949487457,-0.11464859499955123,16.495251786871783,0.9999999999999999,0.325,0.7714285714285715
199,APROBADA,TARJETA_ORO,APROBADO,REGULAR,151039.99999999907,2,181740.0,22.0,79823.9599999994,INVERSIONES,MEDIO_A,CLIENTE_BANCO,112000,MEDIO,0.78,0,247,683,35544,0,0,39,RENTA,LICENCIATURA,1,1,1.0,0,0,1,1,1.2032574152542448,0.44527983828414763,0.0,1.403087494030625,0.8040312947921644,1,2,3,1,3,1,1,0,1,0,0,0,0,1,1.755678344780975,1.276447673024116,2.9841621009983363,2.363225204593105,-0.12090730730064678,-1.0863226406669884,4.731764911816721,1.2112931113888057,-0.11464859499955123,0.8963483961672114,0.4,0.65,0.4
117,APROBADA,TARJETA_ORO,APROBADO,BUENO,151039.99999999907,2,189420.0,18.0,45412.0,INVERSIONES,ALTO_A,CLIENTE_BANCO,0,BAJO,0.82,0,260,760,0,0,0,34,HIPOTECA,POSGRADO,1,1,1.0,0,0,0,0,1.2541048728813637,0.0,0.0,0.0,0.8831073817486861,0,4,4,0,3,2,1,0,1,0,0,1,0,0,1.9673353517939651,1.4991071513532446,-0.29941340349477835,-0.28213814423926503,-0.12090730730064678,-1.0863226406669884,2.4790617809122972,-0.22151694892031418,-0.11464859499955123,-0.24612184934300496,0.2571428571428571,0.6833333333333333,0.36190476190476195
192,APROBADA,TARJETA_ORO,APROBADO,BUENO,151039.99999999907,0,169460.0,26.0,28764.0,INVERSIONES,MEDIO_B,NO_CLIENTE,0,BAJO,0.74,0,238,736,0,0,0,42,PROPIA,PREPARATORIA,1,1,1.0,0,0,0,0,1.1219544491525493,0.0,0.0,0.0,0.8153159340659341,1,1,2,0,1,3,0,0,1,0,0,1,0,0,1.6091465706950587,1.4297067944714383,-0.29941340349477835,-0.28213814423926503,-0.12090730730064678,-1.0863226406669884,1.389237146590466,-0.22151694892031418,-0.11464859499955123,-0.24612184934300496,0.48571428571428565,0.6166666666666667,0.4380952380952381
159,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,0,100320.0,56.0,79823.9599999994,INVERSIONES,MEDIO_A,CLIENTE_BANCO,170000,BAJO,0.44,0,227,740,7876,2130,0,37,RENTA,POSGRADO,1,1,2.0,0,0,1,1,0.6641949152542413,0.0986671169909393,0.02668371752040385,2.129686374867913,0.7913580984233157,1,2,4,0,1,1,1,0,1,0,0,1,0,0,1.4300521801456054,1.441273520618406,4.684585130110842,0.3040334103241985,0.6102564826491921,-1.0863226406669884,4.731764911816721,0.09597157333364226,0.7074567805300929,1.4879847733064306,0.34285714285714286,0.3666666666666667,0.7238095238095239
107,APROBADA,CREDITO_AUTO,APROBADO,REGULAR,151039.99999999907,2,249700.0,-10.0,79823.9599999994,INVERSIONES,MEDIO_B,CLIENTE_BANCO,0,MEDIO,1.1,0,212,690,0,0,0,36,FAMILIARES,LICENCIATURA,1,1,2.0,0,0,0,0,1.6532044491525526,0.0,0.0,0.0,0.7242445054945055,1,1,3,1,3,0,1,0,1,0,0,0,0,1,1.1858325566690784,1.2966894437813095,-0.29941340349477835,-0.28213814423926503,-0.12090730730064678,-1.0863226406669884,4.731764911816721,-0.22151694892031418,-0.11464859499955123,-0.24612184934300496,0.31428571428571417,0.9166666666666667,0.09523809523809525
170,APROBADA,CREDITO_AUTO,APROBADO,REGULAR,151039.99999999907,2,161170.0,29.0,79823.9599999994,INVERSIONES,MEDIO_A,CLIENTE_BANCO,214700,ALTO,0.71,0,192,500,55,0,0,55,RENTA,POSGRADO,1,1,2.0,0,0,1,1,1.067068326271193,0.0006890161801043248,0.0,2.6896686157890644,0.558155160057334,3,2,4,2,3,1,1,0,1,0,0,0,0,1,0.860206392033709,0.7472699518003427,5.995083568064791,-0.2780447674615872,-0.12090730730064678,-1.0863226406669884,4.731764911816721,-0.21929985030122232,-0.11464859499955123,1.9439528087913118,0.8571428571428571,0.5916666666666667,0.4666666666666667
184,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,1,141371.0,33.0,22869.0,RECIBO DE NOMINA,MEDIO_A,CLIENTE_BANCO,117000,BAJO,0.67,0,211,740,2607,0,0,32,HIPOTECA,PREPARATORIA,1,1,2.0,0,0,1,1,0.9359838453389888,0.113997113997114,0.0,5.116096025186934,0.7528965599617774,0,2,2,0,2,2,1,0,0,1,0,1,0,0,1.16955124843731,1.441273520618406,3.130750293163208,-0.08811208497733646,-0.12090730730064678,-1.0863226406669884,1.0033339618639405,0.14530004510904573,-0.11464859499955123,3.9196821413677703,0.19999999999999996,0.5583333333333333,0.5047619047619049
186,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,0,119480.0,42.0,79823.9599999994,INVERSIONES,MEDIO_A,CLIENTE_BANCO,0,BAJO,0.58,0,288,731,3949,1320,0,58,PROPIA,LICENCIATURA,1,1,2.0,0,0,1,0,0.7910487288135643,0.04947136173149052,0.016536388322503794,0.0,0.9324026516961299,3,2,3,0,1,3,1,0,1,0,0,1,0,0,2.4232119822834823,1.4152483867877286,-0.29941340349477835,0.011766308398002308,0.33220828083728154,-1.0863226406669884,4.731764911816721,-0.06232926806951757,0.3948251588498057,-0.24612184934300496,0.9428571428571427,0.48333333333333334,0.5904761904761905
181,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,2,223300.0,-10.0,74955.0,INVERSIONES,MEDIO_A,CLIENTE_BANCO,40004,BAJO,1.1,0,265,740,13687,510,0,52,RENTA,PREPARATORIA,1,1,2.0,0,0,1,1,1.4784163135593311,0.18260289507037555,0.0068040824494696815,0.5337068908011473,0.8827042522694697,2,2,2,0,3,1,1,0,1,0,0,1,0,0,2.0487418929528074,1.441273520618406,0.873409404377923,0.7365172731439403,0.054160079025370976,-1.0863226406669884,4.413029174699531,0.36605797049799255,0.09498009534236611,0.188451365198648,0.7714285714285715,0.9166666666666667,0.09523809523809525
223,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,1,33500.0,42.0,79823.9599999994,INVERSIONES,MEDIO_A,CLIENTE_BANCO,0,BAJO,0.58,0,288,731,3949,1320,0,58,PROPIA,LICENCIATURA,1,1,2.0,0,0,1,0,0.221795550847459,0.04947136173149052,0.016536388322503794,0.0,0.9324026516961299,3,2,3,0,2,3,1,0,1,0,0,1,0,0,2.4232119822834823,1.4152483867877286,-0.29941340349477835,0.011766308398002308,0.33220828083728154,-1.0863226406669884,4.731764911816721,-0.06232926806951757,0.3948251588498057,-0.24612184934300496,0.9428571428571427,0.48333333333333334,0.5904761904761905
140,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,0,124000.0,38.0,79823.9599999994,RECIBO DE NOMINA,ALTO_A,CLIENTE_BANCO,5300,BAJO,0.62,0,234,740,2144,250,0,35,HIPOTECA,LICENCIATURA,1,1,2.0,0,0,1,1,0.8209745762711915,0.02685910345715768,0.003131891727746931,0.06639610462823493,0.8081850215002389,1,4,3,0,1,2,1,0,0,1,0,1,0,0,1.5440213377679848,1.441273520618406,-0.1440299198000149,-0.12257087494215153,-0.03508996106240277,-1.0863226406669884,4.731764911816721,-0.13509041365971455,-0.018157353740203323,-0.1920585252251108,0.2857142857142857,0.5166666666666667,0.5523809523809524
160,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,0,39680.0,38.0,79823.9599999994,RECIBO DE NOMINA,MEDIO_A,CLIENTE_BANCO,5300,BAJO,0.62,0,234,740,2144,250,0,35,PROPIA,LICENCIATURA,1,1,2.0,0,0,1,1,0.2627118644067813,0.02685910345715768,0.003131891727746931,0.06639610462823493,0.8081850215002389,1,2,3,0,1,3,1,0,0,1,0,1,0,0,1.5440213377679848,1.441273520618406,-0.1440299198000149,-0.12257087494215153,-0.03508996106240277,-1.0863226406669884,4.731764911816721,-0.13509041365971455,-0.018157353740203323,-0.1920585252251108,0.2857142857142857,0.5166666666666667,0.5523809523809524
186,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,0,24788.0,38.0,79823.9599999994,RECIBO DE NOMINA,MEDIO_A,CLIENTE_BANCO,5300,BAJO,0.62,0,234,740,2144,250,0,35,PROPIA,LICENCIATURA,1,1,2.0,0,0,1,1,0.16411546610169592,0.02685910345715768,0.003131891727746931,0.06639610462823493,0.8081850215002389,1,2,3,0,1,3,1,0,0,1,0,1,0,0,1.5440213377679848,1.441273520618406,-0.1440299198000149,-0.12257087494215153,-0.03508996106240277,-1.0863226406669884,4.731764911816721,-0.13509041365971455,-0.018157353740203323,-0.1920585252251108,0.2857142857142857,0.5166666666666667,0.5523809523809524
